method,display,correct,total,accuracy,ci_low,ci_high,mean_latency_ms,std_latency_ms,p_value_vs_baseline
zero_shot,Zero-Shot,951,1150,0.8269565217391305,0.8040134290478491,0.8477224764698581,830.1501153862995,12271.968755755586,
kb_sc,KB+SC,50,62,0.8064516129032258,0.6914796824829172,0.885663035798534,114973.54507061743,95959.33988620703,0.802587
chain_of_thought,CoT,459,574,0.7996515679442509,0.7649628243752504,0.8303560311727058,5556.410246609811,27471.277221112257,0.348737
self_reflection,Self Reflection,643,879,0.7315130830489193,0.7012543878025587,0.7597569646303127,15489.135984403418,25171.557924689612,1.0
rag,RAG,191,270,0.7074074074074074,0.6505336727037101,0.7584618926158031,1548.990527788798,5442.255626289304,0.000289
baseline,Baseline,616,988,0.6234817813765182,0.5928460758582775,0.6531609478438943,4535.515185068493,12250.420289171292,1.0
self_consistency,SC,188,419,0.4486873508353222,0.4017447206945267,0.49656235221409895,25354.326760285225,80844.2752313703,0.0
adaptive,Adaptive,16,120,0.13333333333333333,0.0837653717755315,0.20564949366548352,0.0,0.0,1.0
rl_based,Rl Based,9,120,0.075,0.039956662006448734,0.13641056839109136,0.0,0.0,1.0
